lead_id,name,signup_date,source,email_opens_30d,email_clicks_30d,site_visits_30d,pricing_page_visits_30d,cart_abandons_90d,wishlist_items,past_purchases,lifetime_value,days_since_last_activity,_true_persona
HC-0252,Rowan Osei,2025-05-11,Direct,5,2,5,0,0,0,0,0.0,28,Window Shopper
HC-0253,Andre Mbeki,2026-04-14,Organic Search,4,5,10,3,2,2,0,0.0,8,Engaged Prospect
HC-0254,Sam Mbeki,2026-04-01,Influencer,13,4,12,3,3,4,0,0.0,0,Engaged Prospect
HC-0255,Elena Okafor,2026-03-20,Direct,3,0,3,0,0,0,0,0.0,34,Window Shopper
HC-0256,Avery Nguyen,2026-02-28,Organic Search,3,2,5,0,0,0,0,0.0,30,Window Shopper
HC-0257,Sam Ito,2024-11-02,Direct,3,0,2,0,0,4,11,6647.59,53,At-Risk VIP
HC-0258,Victor Kim,2025-09-03,Paid Social,0,0,0,0,0,3,2,564.55,245,Lapsed Buyer
HC-0259,Diego Rossi,2026-05-06,Organic Search,5,0,5,0,0,1,0,0.0,31,Window Shopper
HC-0260,Taylor Anders,2026-02-06,Paid Social,2,1,3,0,0,0,0,0.0,41,Window Shopper
HC-0261,Felix Lindqvist,2024-12-30,Paid Social,1,0,2,0,0,0,8,3693.86,118,At-Risk VIP
HC-0262,Ingrid Kim,2024-10-31,Paid Social,0,0,0,0,0,0,1,405.44,287,Lapsed Buyer
HC-0263,Ingrid Osei,2026-03-05,Paid Social,9,5,8,4,1,4,0,0.0,8,Engaged Prospect
HC-0264,Naomi Lindqvist,2026-01-15,Direct,6,5,6,1,2,5,0,0.0,1,Engaged Prospect
HC-0265,Diego Meyer,2026-04-07,Organic Search,9,7,9,2,3,1,0,0.0,0,Engaged Prospect
HC-0266,Felix Chen,2023-05-01,Influencer,5,0,0,0,0,6,5,2359.19,86,At-Risk VIP
HC-0267,Elena Reyes,2026-07-04,Email Referral,3,1,5,1,0,1,0,0.0,10,New Signup
HC-0268,Devon Petrov,2026-04-12,Organic Search,8,5,6,5,3,3,0,0.0,5,Engaged Prospect
HC-0269,Ingrid Meyer,2024-10-22,Paid Social,7,1,2,0,0,0,0,0.0,34,Window Shopper
HC-0270,Victor Haddad,2026-07-08,Organic Search,2,2,1,1,0,1,0,0.0,4,New Signup
HC-0271,Kenji Barros,2025-08-16,Email Referral,0,0,1,0,0,0,1,382.62,358,Lapsed Buyer
HC-0272,Taylor Petrov,2026-06-11,Paid Social,10,2,9,2,0,3,0,0.0,2,Engaged Prospect
HC-0273,Ingrid Novak,2025-02-06,Email Referral,4,1,2,0,0,3,0,0.0,28,Window Shopper
HC-0274,Lucia Kim,2026-07-19,Paid Social,0,0,2,0,0,0,0,0.0,2,New Signup
HC-0275,Avery Barros,2025-03-13,Direct,4,2,6,0,0,0,0,0.0,43,Window Shopper
HC-0276,Sofia Okafor,2025-01-06,Direct,0,0,1,0,0,1,2,410.07,223,Lapsed Buyer
HC-0277,Taylor Meyer,2024-10-05,Direct,0,0,2,0,0,3,14,8326.59,69,At-Risk VIP
HC-0278,Rowan Fuentes,2024-12-01,Email Referral,0,0,0,0,0,2,1,353.19,231,Lapsed Buyer
HC-0279,Morgan Barros,2026-07-24,Organic Search,1,1,2,1,0,2,1,418.34,7,New Signup
HC-0280,Casey Okafor,2026-07-09,Paid Social,2,0,4,1,0,0,0,0.0,8,New Signup
HC-0281,Emerson Kim,2024-09-22,Organic Search,0,0,1,0,0,0,2,832.48,216,Lapsed Buyer
HC-0282,Morgan Novak,2025-07-09,Influencer,4,0,1,0,0,1,0,0.0,36,Window Shopper
HC-0283,Lucia Nguyen,2024-09-23,Organic Search,12,7,13,2,1,7,13,6017.33,6,Whale Collector
HC-0284,Naomi Torres,2024-10-16,Organic Search,4,1,0,0,0,0,0,0.0,10,Window Shopper
HC-0285,Zara Nguyen,2024-03-02,Email Referral,0,0,0,0,0,2,2,617.23,303,Lapsed Buyer
HC-0286,Skyler Mbeki,2026-06-21,Organic Search,10,5,8,1,1,4,0,0.0,8,Engaged Prospect
HC-0287,Sofia Larsen,2026-06-04,Convention Booth,13,1,6,1,2,5,0,0.0,9,Engaged Prospect
HC-0288,Emerson Osei,2026-05-21,Organic Search,6,1,1,0,0,1,0,0.0,37,Window Shopper
HC-0289,Casey Osei,2024-06-05,Influencer,0,0,0,0,0,0,3,1025.64,344,Lapsed Buyer
HC-0290,Rowan Fuentes,2026-07-06,Influencer,3,0,0,0,1,1,0,0.0,0,New Signup
HC-0291,Riley Okafor,2025-01-02,Paid Social,0,0,2,0,0,5,13,5917.53,91,At-Risk VIP
HC-0292,Felix Mbeki,2026-03-02,Direct,6,4,9,4,2,4,0,0.0,1,Engaged Prospect
HC-0293,Taylor Nguyen,2026-07-30,Paid Social,0,0,7,0,0,0,0,0.0,0,New Signup
HC-0294,Riley Haddad,2024-05-01,Convention Booth,4,0,0,0,0,0,2,733.99,233,Lapsed Buyer
HC-0295,Quinn Chen,2023-10-05,Paid Social,1,0,0,0,0,2,3,1242.12,265,Lapsed Buyer
HC-0296,Sofia Kowalski,2026-07-27,Direct,2,0,3,0,1,0,0,0.0,11,New Signup
HC-0297,Quinn Kim,2026-07-23,Organic Search,2,1,1,0,0,3,0,0.0,1,New Signup
HC-0298,Naomi Tanaka,2026-07-12,Paid Social,2,0,3,0,0,1,0,0.0,4,New Signup
HC-0299,Andre Silva,2026-07-07,Direct,5,1,4,1,0,2,0,0.0,4,New Signup
HC-0300,Hayden Reyes,2025-06-21,Organic Search,1,0,4,1,0,0,0,0.0,5,Window Shopper
HC-0301,Kenji Ito,2023-11-11,Paid Social,0,0,1,0,0,4,1,505.15,119,Lapsed Buyer
HC-0302,Omar Petrov,2026-03-09,Email Referral,14,4,4,4,2,8,0,0.0,8,Engaged Prospect
HC-0303,Quinn Tanaka,2024-09-20,Email Referral,0,0,0,0,0,1,2,647.11,299,Lapsed Buyer
HC-0304,Rowan Kim,2025-04-07,Organic Search,0,0,0,0,0,0,1,539.61,189,Lapsed Buyer
HC-0305,Diego Torres,2025-03-06,Direct,0,0,0,0,0,2,2,803.07,254,Lapsed Buyer
HC-0306,Alex Tanaka,2026-01-04,Organic Search,4,1,4,0,0,0,0,0.0,37,Window Shopper
HC-0307,Andre Anders,2025-08-05,Organic Search,6,2,6,0,0,1,0,0.0,32,Window Shopper
HC-0308,Hayden Nguyen,2025-06-09,Paid Social,10,3,7,0,0,1,0,0.0,20,Window Shopper
HC-0309,Sofia Barros,2024-03-23,Organic Search,9,7,6,6,0,9,18,7663.27,10,Whale Collector
HC-0310,Hayden Larsen,2026-07-06,Paid Social,3,0,0,1,0,0,0,0.0,7,New Signup
HC-0311,Avery Novak,2025-04-08,Organic Search,6,0,7,0,0,1,0,0.0,22,Window Shopper
HC-0312,Emerson Fuentes,2026-02-05,Influencer,7,0,3,0,0,0,0,0.0,14,Window Shopper
HC-0313,Hayden Meyer,2026-01-21,Paid Social,3,1,3,0,0,3,0,0.0,21,Window Shopper
HC-0314,Kenji Haddad,2024-06-02,Organic Search,0,0,0,0,0,0,2,662.96,349,Lapsed Buyer
HC-0315,Jordan Rossi,2024-10-01,Organic Search,4,3,3,0,0,0,0,0.0,4,Window Shopper
HC-0316,Amara Chen,2026-07-31,Convention Booth,4,0,1,0,0,0,0,0.0,2,New Signup
HC-0317,Taylor Lindqvist,2026-07-30,Organic Search,3,2,5,0,1,0,1,361.42,8,New Signup
HC-0318,Devon Rossi,2025-08-04,Organic Search,5,0,6,0,0,1,0,0.0,32,Window Shopper
HC-0319,Riley Rossi,2026-05-30,Influencer,5,7,7,2,3,5,0,0.0,0,Engaged Prospect
HC-0320,Naomi Petrov,2023-04-29,Influencer,0,0,0,0,0,0,2,795.41,111,Lapsed Buyer
HC-0321,Marcus Lindqvist,2026-07-30,Convention Booth,4,0,2,2,1,2,1,296.07,12,New Signup
HC-0322,Victor Torres,2026-07-10,Paid Social,9,7,15,5,2,4,0,0.0,4,Engaged Prospect
HC-0323,Felix Fuentes,2025-02-09,Organic Search,1,0,0,0,0,0,2,610.08,186,Lapsed Buyer
HC-0324,Jordan Barros,2026-07-03,Paid Social,3,2,5,0,0,1,0,0.0,8,New Signup
HC-0325,Omar Haddad,2026-07-30,Direct,4,0,2,1,1,1,0,0.0,4,New Signup
HC-0326,Priya Haddad,2023-01-20,Organic Search,1,1,0,0,0,2,12,6065.62,112,At-Risk VIP
HC-0327,Quinn Lindqvist,2024-12-08,Email Referral,1,0,0,0,0,4,8,4628.08,112,At-Risk VIP
HC-0328,Victor Tanaka,2026-07-04,Organic Search,0,0,4,1,0,0,0,0.0,10,New Signup
HC-0329,Emerson Ito,2024-01-20,Organic Search,0,0,0,0,0,7,7,3240.48,86,At-Risk VIP
HC-0330,Felix Chen,2026-04-08,Paid Social,8,7,6,1,2,1,0,0.0,5,Engaged Prospect
HC-0331,Taylor Novak,2024-10-18,Organic Search,8,0,5,1,0,0,0,0.0,32,Window Shopper
HC-0332,Avery Tanaka,2025-02-24,Organic Search,9,0,4,0,0,0,0,0.0,22,Window Shopper
HC-0333,Rowan Nguyen,2025-03-21,Convention Booth,0,0,1,0,0,0,3,1131.4,297,Lapsed Buyer
HC-0334,Skyler Meyer,2026-02-08,Convention Booth,10,6,6,3,2,4,0,0.0,2,Engaged Prospect
HC-0335,Rowan Nguyen,2026-07-24,Email Referral,4,0,0,1,0,0,0,0.0,0,New Signup
HC-0336,Marcus Nguyen,2026-07-06,Email Referral,6,4,9,5,1,3,0,0.0,6,Engaged Prospect
HC-0337,Sofia Larsen,2024-12-09,Paid Social,0,0,0,0,0,0,3,1422.44,309,Lapsed Buyer
HC-0338,Casey Haddad,2023-08-10,Organic Search,15,7,13,2,0,14,6,3315.19,7,Whale Collector
HC-0339,Sofia Haddad,2025-12-06,Organic Search,5,0,0,0,0,2,0,0.0,21,Window Shopper
HC-0340,Morgan Barros,2024-01-31,Paid Social,11,6,15,6,0,10,9,3843.32,6,Whale Collector
HC-0341,Morgan Kowalski,2026-05-18,Paid Social,1,1,3,0,0,1,0,0.0,5,Window Shopper
HC-0342,Alex Barros,2025-08-01,Convention Booth,6,0,2,0,0,1,0,0.0,36,Window Shopper
HC-0343,Devon Barros,2024-08-20,Paid Social,1,0,1,0,0,3,1,393.21,228,Lapsed Buyer
HC-0344,Avery Fuentes,2026-03-31,Convention Booth,3,0,3,0,0,1,0,0.0,15,Window Shopper
HC-0345,Emerson Chen,2024-09-12,Direct,11,3,13,4,0,5,14,7655.29,14,Whale Collector
HC-0346,Jordan Larsen,2026-07-12,Paid Social,3,2,4,1,0,1,0,0.0,7,New Signup
HC-0347,Sam Barros,2026-07-24,Paid Social,3,1,0,1,0,2,0,0.0,10,New Signup
HC-0348,Avery Larsen,2026-07-14,Paid Social,1,1,5,0,0,0,0,0.0,4,New Signup
HC-0349,Priya Reyes,2026-04-01,Organic Search,13,1,12,6,2,5,0,0.0,3,Engaged Prospect
HC-0350,Devon Petrov,2026-06-01,Paid Social,7,2,8,0,0,1,0,0.0,14,Window Shopper
HC-0351,Skyler Osei,2026-02-06,Convention Booth,8,3,11,3,3,7,0,0.0,6,Engaged Prospect
HC-0352,Avery Kowalski,2024-02-01,Paid Social,0,0,1,0,0,5,12,6538.62,107,At-Risk VIP
HC-0353,Andre Larsen,2025-05-16,Paid Social,16,4,15,4,2,6,15,7968.05,19,Whale Collector
HC-0354,Elena Novak,2024-10-07,Influencer,10,2,4,1,0,1,0,0.0,31,Window Shopper
HC-0355,Alex Tanaka,2022-11-29,Influencer,1,0,1,0,0,9,5,2303.25,115,At-Risk VIP
HC-0356,Skyler Reyes,2026-04-01,Paid Social,13,4,10,2,2,6,0,0.0,7,Engaged Prospect
HC-0357,Hayden Reyes,2026-07-04,Paid Social,1,2,0,0,0,0,0,0.0,6,New Signup
HC-0358,Omar Barros,2025-01-05,Email Referral,8,0,0,0,0,3,0,0.0,8,Window Shopper
HC-0359,Devon Barros,2026-04-26,Convention Booth,11,3,9,4,3,2,0,0.0,4,Engaged Prospect
HC-0360,Reese Novak,2024-02-23,Convention Booth,0,0,0,0,0,4,3,1371.99,314,Lapsed Buyer
HC-0361,Quinn Nguyen,2026-02-01,Convention Booth,6,6,7,3,1,7,0,0.0,9,Engaged Prospect
HC-0362,Devon Mbeki,2026-06-15,Influencer,7,0,3,0,0,0,0,0.0,28,Window Shopper
HC-0363,Kenji Osei,2026-06-13,Convention Booth,11,4,4,4,1,5,0,0.0,6,Engaged Prospect
HC-0364,Emerson Tanaka,2025-11-19,Influencer,3,2,4,0,0,1,0,0.0,33,Window Shopper
HC-0365,Emerson Petrov,2025-01-25,Organic Search,0,0,0,0,0,3,3,1109.39,199,Lapsed Buyer
HC-0366,Priya Torres,2024-12-03,Paid Social,4,2,2,0,0,0,0,0.0,36,Window Shopper
HC-0367,Quinn Okafor,2025-02-25,Organic Search,8,2,0,0,0,1,0,0.0,34,Window Shopper
HC-0368,Priya Ito,2026-07-26,Paid Social,0,1,0,0,0,1,0,0.0,12,New Signup
HC-0369,Zara Kowalski,2026-07-16,Organic Search,3,0,3,2,0,1,1,309.75,1,New Signup
HC-0370,Felix Ito,2026-05-09,Influencer,6,5,10,3,1,6,0,0.0,1,Engaged Prospect
HC-0371,Hayden Ito,2026-02-11,Influencer,10,6,8,2,1,0,0,0.0,1,Engaged Prospect
HC-0372,Zara Novak,2023-07-14,Organic Search,0,0,1,0,0,3,11,4351.38,74,At-Risk VIP
HC-0373,Naomi Mbeki,2026-07-28,Organic Search,1,1,3,0,0,1,0,0.0,11,New Signup
HC-0374,Ingrid Haddad,2026-07-08,Organic Search,2,1,5,1,0,0,0,0.0,11,New Signup
HC-0375,Alex Rossi,2026-07-01,Organic Search,8,7,7,3,2,2,0,0.0,1,Engaged Prospect
HC-0376,Hayden Mbeki,2026-07-18,Influencer,0,1,3,0,1,0,0,0.0,6,New Signup
HC-0377,Alex Reyes,2026-05-25,Organic Search,10,1,5,1,0,5,0,0.0,0,Engaged Prospect
HC-0378,Kenji Kowalski,2025-04-25,Email Referral,3,0,0,0,0,2,0,0.0,6,Window Shopper
HC-0379,Riley Silva,2025-06-15,Influencer,5,1,1,0,0,1,0,0.0,12,Window Shopper
HC-0380,Taylor Fuentes,2026-07-11,Influencer,2,1,0,1,0,0,0,0.0,5,New Signup
HC-0381,Quinn Petrov,2024-04-07,Organic Search,6,4,5,1,1,7,17,9185.56,17,Whale Collector
HC-0382,Andre Petrov,2024-11-16,Organic Search,7,0,5,0,0,0,0,0.0,28,Window Shopper
HC-0383,Devon Nguyen,2024-12-07,Organic Search,0,0,0,0,0,0,1,408.77,302,Lapsed Buyer
HC-0384,Zara Fuentes,2025-04-20,Convention Booth,10,5,6,3,1,7,7,3931.61,10,Whale Collector
HC-0385,Hayden Mbeki,2026-03-05,Email Referral,10,7,4,4,1,4,0,0.0,2,Engaged Prospect
HC-0386,Marcus Chen,2025-07-28,Convention Booth,6,0,0,0,0,0,0,0.0,26,Window Shopper
HC-0387,Priya Ito,2026-07-14,Convention Booth,4,0,2,1,0,1,0,0.0,12,New Signup
HC-0388,Omar Kim,2025-09-18,Email Referral,2,0,0,0,0,3,3,1048.07,188,Lapsed Buyer
HC-0389,Avery Fuentes,2026-07-05,Convention Booth,3,2,4,0,0,0,0,0.0,12,New Signup
HC-0390,Quinn Barros,2024-11-22,Direct,0,0,0,0,0,0,2,643.36,248,Lapsed Buyer
HC-0391,Skyler Ito,2024-02-15,Influencer,0,0,0,0,0,5,1,329.83,122,Lapsed Buyer
HC-0392,Reese Kim,2026-07-16,Email Referral,4,0,2,0,0,0,0,0.0,1,New Signup
HC-0393,Priya Lindqvist,2023-12-07,Organic Search,0,0,0,0,0,2,2,670.08,312,Lapsed Buyer
HC-0394,Ingrid Reyes,2024-01-03,Email Referral,1,0,0,0,0,0,2,831.87,135,Lapsed Buyer
HC-0395,Felix Tanaka,2024-11-06,Direct,9,0,2,1,0,1,0,0.0,7,Window Shopper
HC-0396,Lucia Novak,2026-02-04,Organic Search,6,6,11,2,1,4,0,0.0,5,Engaged Prospect
HC-0397,Avery Okafor,2023-06-28,Convention Booth,0,0,1,0,0,0,2,1017.74,354,Lapsed Buyer
HC-0398,Morgan Fuentes,2026-07-05,Convention Booth,8,9,9,3,0,6,0,0.0,8,Engaged Prospect
HC-0399,Naomi Mbeki,2026-07-31,Convention Booth,1,1,3,1,0,2,0,0.0,11,New Signup
HC-0400,Kenji Osei,2024-12-09,Organic Search,1,0,0,0,0,0,1,178.41,279,Lapsed Buyer
HC-0401,Omar Kowalski,2026-01-17,Organic Search,7,2,1,0,0,3,0,0.0,43,Window Shopper
HC-0402,Quinn Chen,2026-07-19,Email Referral,2,1,1,0,0,2,0,0.0,6,New Signup
HC-0403,Skyler Lindqvist,2026-02-08,Paid Social,11,6,9,6,1,4,0,0.0,0,Engaged Prospect
HC-0404,Sam Rossi,2026-03-12,Paid Social,5,1,1,1,0,0,0,0.0,41,Window Shopper
HC-0405,Riley Torres,2024-10-30,Organic Search,2,0,2,0,0,5,8,4172.61,58,At-Risk VIP
HC-0406,Devon Mbeki,2026-07-13,Organic Search,1,1,0,0,0,2,0,0.0,7,New Signup
HC-0407,Alex Tanaka,2026-05-14,Direct,8,0,3,0,0,2,0,0.0,37,Window Shopper
HC-0408,Taylor Silva,2026-07-30,Direct,4,1,2,0,1,1,0,0.0,11,New Signup
HC-0409,Omar Kim,2026-06-19,Organic Search,5,4,13,2,0,6,0,0.0,3,Engaged Prospect
HC-0410,Emerson Chen,2026-07-23,Organic Search,2,0,0,0,0,1,0,0.0,0,New Signup
HC-0411,Riley Osei,2023-06-12,Email Referral,0,0,1,0,0,2,1,263.23,346,Lapsed Buyer
HC-0412,Victor Nguyen,2024-12-30,Organic Search,0,0,0,0,0,2,3,1283.42,181,Lapsed Buyer
HC-0413,Devon Haddad,2026-07-20,Email Referral,10,1,3,0,0,0,0,0.0,0,New Signup
HC-0414,Elena Tanaka,2025-09-03,Direct,10,2,1,0,0,0,0,0.0,39,Window Shopper
HC-0415,Alex Novak,2024-09-09,Organic Search,6,1,1,0,0,0,0,0.0,36,Window Shopper
HC-0416,Marcus Ito,2024-05-06,Paid Social,2,0,1,0,0,0,1,324.23,277,Lapsed Buyer
HC-0417,Naomi Larsen,2026-07-09,Convention Booth,2,3,3,0,0,2,0,0.0,13,New Signup
HC-0418,Skyler Chen,2025-10-28,Paid Social,1,0,0,0,0,0,0,0.0,11,Window Shopper
HC-0419,Naomi Fuentes,2023-05-19,Email Referral,0,0,0,0,0,0,3,1020.17,142,Lapsed Buyer
HC-0420,Ingrid Tanaka,2026-07-04,Organic Search,12,4,5,2,2,2,0,0.0,4,Engaged Prospect
HC-0421,Omar Okafor,2026-02-12,Paid Social,8,1,0,0,0,0,0,0.0,33,Window Shopper
HC-0422,Andre Silva,2025-05-19,Direct,1,0,0,0,0,0,3,618.25,292,Lapsed Buyer
HC-0423,Zara Reyes,2024-09-04,Organic Search,15,6,16,5,0,6,17,7939.97,19,Whale Collector
HC-0424,Zara Anders,2024-07-24,Organic Search,1,0,0,0,0,1,2,850.5,149,Lapsed Buyer
HC-0425,Emerson Meyer,2023-08-03,Direct,12,5,19,5,0,5,10,4799.78,19,Whale Collector
HC-0426,Avery Reyes,2026-07-27,Convention Booth,4,1,1,0,0,1,0,0.0,3,New Signup
HC-0427,Victor Mbeki,2026-01-30,Organic Search,4,3,3,1,0,1,0,0.0,17,Window Shopper
HC-0428,Rowan Barros,2026-04-23,Convention Booth,7,2,7,0,0,0,0,0.0,32,Window Shopper
HC-0429,Quinn Ito,2023-08-01,Organic Search,0,0,1,0,0,3,2,1012.39,136,Lapsed Buyer
HC-0430,Hayden Larsen,2026-04-10,Organic Search,7,1,1,0,0,1,0,0.0,35,Window Shopper
HC-0431,Kenji Osei,2025-08-05,Convention Booth,0,0,0,0,0,2,3,568.56,297,Lapsed Buyer
HC-0432,Riley Chen,2023-06-02,Email Referral,1,0,2,0,0,0,9,3820.45,94,At-Risk VIP
HC-0433,Elena Silva,2025-12-08,Paid Social,8,1,2,1,0,0,0,0.0,36,Window Shopper
HC-0434,Morgan Silva,2025-11-20,Influencer,7,2,2,0,0,1,0,0.0,39,Window Shopper
HC-0435,Riley Mbeki,2026-07-06,Organic Search,1,0,6,1,1,1,0,0.0,2,New Signup
HC-0436,Rowan Fuentes,2023-04-10,Direct,13,6,11,0,0,7,10,7320.31,14,Whale Collector
HC-0437,Andre Chen,2025-04-05,Convention Booth,9,0,5,1,0,1,0,0.0,44,Window Shopper
HC-0438,Priya Petrov,2024-11-27,Email Referral,0,0,1,0,0,2,2,666.66,340,Lapsed Buyer
HC-0439,Naomi Novak,2025-07-04,Influencer,5,2,2,2,0,0,0,0.0,12,Window Shopper
HC-0440,Omar Anders,2022-07-22,Paid Social,1,0,1,0,0,7,13,6210.96,53,At-Risk VIP
HC-0441,Naomi Rossi,2024-08-04,Email Referral,0,0,0,0,0,1,1,413.55,108,Lapsed Buyer
HC-0442,Sam Kim,2026-03-31,Direct,9,5,14,2,2,7,0,0.0,9,Engaged Prospect
HC-0443,Omar Larsen,2026-02-14,Organic Search,8,4,12,4,1,5,0,0.0,6,Engaged Prospect
HC-0444,Zara Petrov,2026-07-28,Convention Booth,2,1,1,0,0,0,0,0.0,1,New Signup
HC-0445,Naomi Nguyen,2026-07-10,Direct,10,5,6,4,1,6,0,0.0,3,Engaged Prospect
HC-0446,Diego Larsen,2024-12-04,Organic Search,5,0,3,0,0,1,0,0.0,24,Window Shopper
HC-0447,Jordan Kowalski,2024-12-11,Convention Booth,1,0,0,0,0,3,2,795.55,169,Lapsed Buyer
HC-0448,Skyler Meyer,2023-06-24,Email Referral,0,0,0,0,0,0,2,935.45,329,Lapsed Buyer
HC-0449,Casey Rossi,2026-04-02,Influencer,5,0,4,0,0,0,0,0.0,13,Window Shopper
HC-0450,Lucia Kowalski,2026-07-29,Paid Social,4,0,5,1,1,1,0,0.0,8,New Signup
HC-0451,Elena Lindqvist,2025-02-01,Influencer,5,2,1,0,0,1,0,0.0,17,Window Shopper
HC-0452,Elena Osei,2025-01-15,Paid Social,1,0,0,0,0,2,3,882.34,358,Lapsed Buyer
HC-0453,Rowan Torres,2026-07-14,Organic Search,2,2,4,1,0,0,0,0.0,1,New Signup
HC-0454,Lucia Barros,2025-05-02,Organic Search,1,0,0,0,0,0,2,780.16,306,Lapsed Buyer
HC-0455,Quinn Chen,2025-03-27,Organic Search,0,0,0,0,0,2,2,683.13,272,Lapsed Buyer
HC-0456,Reese Petrov,2025-03-31,Influencer,2,3,2,0,0,1,0,0.0,39,Window Shopper
HC-0457,Jordan Kowalski,2026-01-30,Organic Search,6,2,5,0,0,3,0,0.0,34,Window Shopper
HC-0458,Morgan Mbeki,2025-08-31,Paid Social,8,2,1,1,0,1,0,0.0,27,Window Shopper
HC-0459,Morgan Rossi,2024-08-20,Direct,2,0,1,0,0,0,1,440.42,148,Lapsed Buyer
HC-0460,Jordan Anders,2024-09-23,Organic Search,10,2,0,0,0,2,0,0.0,5,Window Shopper
HC-0461,Amara Chen,2026-06-29,Organic Search,0,2,3,0,0,0,0,0.0,21,Window Shopper
HC-0462,Amara Petrov,2025-07-25,Influencer,1,0,1,0,0,3,3,1098.97,95,Lapsed Buyer
HC-0463,Lucia Anders,2024-11-04,Influencer,5,3,6,0,0,0,0,0.0,13,Window Shopper
HC-0464,Alex Larsen,2025-11-18,Organic Search,4,2,2,0,0,0,0,0.0,31,Window Shopper
HC-0465,Quinn Silva,2026-07-21,Influencer,0,1,5,0,0,0,0,0.0,8,New Signup
HC-0466,Rowan Okafor,2025-06-02,Organic Search,10,2,5,0,0,0,0,0.0,4,Window Shopper
HC-0467,Jordan Anders,2026-07-05,Email Referral,3,0,3,1,0,1,0,0.0,11,New Signup
HC-0468,Marcus Silva,2026-07-07,Direct,1,1,1,1,0,3,0,0.0,3,New Signup
HC-0469,Lucia Meyer,2025-07-05,Influencer,8,0,4,0,0,0,0,0.0,18,Window Shopper
HC-0470,Jordan Kim,2024-03-28,Organic Search,0,0,0,0,0,2,3,929.94,332,Lapsed Buyer
HC-0471,Lucia Anders,2024-07-05,Influencer,11,7,15,5,1,12,8,4003.18,18,Whale Collector
HC-0472,Rowan Kim,2024-11-09,Email Referral,9,1,5,0,0,1,0,0.0,29,Window Shopper
HC-0473,Lucia Novak,2026-07-20,Organic Search,0,3,6,2,0,2,0,0.0,12,New Signup
HC-0474,Skyler Osei,2026-06-11,Paid Social,3,2,1,0,0,0,0,0.0,37,Window Shopper
HC-0475,Skyler Tanaka,2026-01-01,Organic Search,11,3,2,0,0,0,0,0.0,33,Window Shopper
HC-0476,Reese Kowalski,2025-05-16,Convention Booth,1,0,1,0,0,1,2,768.49,172,Lapsed Buyer
HC-0477,Felix Barros,2023-06-02,Influencer,0,0,0,0,0,1,2,740.4,312,Lapsed Buyer
HC-0478,Victor Ito,2025-09-16,Organic Search,3,0,2,1,0,1,0,0.0,18,Window Shopper
HC-0479,Taylor Meyer,2024-11-09,Influencer,6,1,3,1,0,0,0,0.0,31,Window Shopper
HC-0480,Quinn Ito,2026-03-24,Organic Search,12,4,6,3,0,5,0,0.0,5,Engaged Prospect
HC-0481,Priya Chen,2024-10-20,Paid Social,0,1,0,0,0,0,0,0.0,21,Window Shopper
HC-0482,Diego Lindqvist,2025-06-30,Paid Social,6,1,0,0,0,1,0,0.0,18,Window Shopper
HC-0483,Elena Mbeki,2024-09-07,Organic Search,4,0,1,0,0,0,0,0.0,23,Window Shopper
HC-0484,Kenji Nguyen,2026-07-12,Organic Search,1,0,4,1,0,1,0,0.0,6,New Signup
HC-0485,Reese Meyer,2025-11-05,Organic Search,7,2,1,0,0,1,0,0.0,27,Window Shopper
HC-0486,Victor Torres,2024-11-28,Email Referral,9,1,3,1,0,0,0,0.0,37,Window Shopper
HC-0487,Rowan Osei,2026-04-06,Organic Search,7,1,4,1,0,0,0,0.0,35,Window Shopper
HC-0488,Lucia Okafor,2026-04-04,Direct,5,0,4,1,0,3,0,0.0,42,Window Shopper
HC-0489,Victor Tanaka,2026-07-09,Direct,6,0,4,1,0,0,0,0.0,6,New Signup
HC-0490,Diego Novak,2026-07-14,Paid Social,1,0,0,0,0,0,0,0.0,11,New Signup
HC-0491,Sam Reyes,2025-09-16,Paid Social,2,0,6,1,0,0,0,0.0,31,Window Shopper
HC-0492,Devon Torres,2026-06-25,Influencer,9,4,10,1,0,1,0,0.0,5,Engaged Prospect
HC-0493,Emerson Novak,2026-07-10,Organic Search,2,0,3,2,0,1,1,382.46,13,New Signup
HC-0494,Reese Rossi,2025-05-30,Direct,6,1,2,0,0,1,0,0.0,5,Window Shopper
HC-0495,Sam Larsen,2025-01-06,Email Referral,0,0,1,0,0,2,1,318.71,178,Lapsed Buyer
HC-0496,Morgan Haddad,2024-08-19,Convention Booth,4,0,0,0,0,4,7,3102.64,82,At-Risk VIP
HC-0497,Emerson Reyes,2026-07-05,Influencer,1,0,3,1,0,2,0,0.0,8,New Signup
HC-0498,Victor Barros,2025-07-17,Influencer,2,0,0,0,0,1,0,0.0,32,Window Shopper
HC-0499,Casey Chen,2024-12-11,Paid Social,5,0,4,0,0,0,0,0.0,8,Window Shopper
HC-0500,Hayden Chen,2026-02-13,Paid Social,12,5,7,2,3,7,0,0.0,0,Engaged Prospect
HC-0501,Naomi Silva,2025-05-06,Convention Booth,8,0,1,0,0,3,0,0.0,5,Window Shopper
HC-0502,Alex Lindqvist,2026-07-15,Organic Search,2,0,4,0,0,0,0,0.0,3,New Signup
HC-0503,Priya Okafor,2026-07-15,Organic Search,0,1,0,1,0,0,0,0.0,3,New Signup
HC-0504,Omar Osei,2025-02-26,Organic Search,2,2,0,0,0,0,0,0.0,15,Window Shopper
